FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3016,Code Enforcement,4272,Strategic Task Force,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,3058.00,3058.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3025,Technical Inspections,4110,Plumbing Code Compliance Inspection,2 0,16,2233,Plumbing Inspector in Charge,Monthly,1,1,8160.00,97920.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3025,Technical Inspections,4110,Plumbing Code Compliance Inspection,2 0,16,2231,Plumbing Inspector,Monthly,10,1,7990.00,958800.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3025,Technical Inspections,4110,Plumbing Code Compliance Inspection,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,11233.00,11233.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3215,Plan Review,0,,2 0,16,2231,Plumbing Inspector,Monthly,7,1,7990.00,671160.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3215,Plan Review,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,68580.00,68580.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3215,Plan Review,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,263.00,263.00
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3215,Plan Review,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,7134.00,7134.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,1 00,9,9988,Commissioner of Water Management,Annual,1,1,169512.00,169512.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,1 00,9,9813,Managing Deputy Commissioner,Annual,1,1,139488.00,139488.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,1 00,9,9813,Managing Deputy Commissioner,Annual,1,1,133008.00,133008.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,1 00,9,9660,First Deputy Commissioner,Annual,1,1,149892.00,149892.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,3 00,20,4546,Director of Facilities,Annual,1,1,80112.00,80112.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,BX 14,20,318,Assistant to the Commissioner,Annual,1,1,67224.00,67224.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3003,Agency Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,384.00,384.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,G 09,4,5535,Water Research Specialist,Annual,1,1,98664.00,98664.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,3 00,9,1694,Director of Legal Services,Annual,1,1,126564.00,126564.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,BX 15,10,320,Assistant to the Commissioner,Annual,1,1,57084.00,57084.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,99336.00,99336.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,75240.00,75240.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3005,Management Support,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,5129.00,5129.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3010,Public Relations,0,,B 14,1,703,Public Relations Rep III,Annual,1,1,91980.00,91980.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3010,Public Relations,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,103740.00,103740.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3015,Cost Recovery,0,,B 15,1,6145,Engineering Technician VI,Annual,1,1,96384.00,96384.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3015,Cost Recovery,0,,3 00,0,1646,Attorney,Annual,1,1,83136.00,83136.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3015,Cost Recovery,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2660.00,2660.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,2 0,53,6328,Watchman,Hourly,5,1,20.31,211224.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,U 13,53,6305,Safety Specialist,Annual,1,1,85512.00,85512.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,U 13,53,6305,Safety Specialist,Annual,1,1,81588.00,81588.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,U 13,53,6305,Safety Specialist,Annual,2,1,50784.00,101568.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,BX 14,10,4218,Coordinator of Security Services,Annual,1,1,49668.00,49668.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,BX 15,10,320,Assistant to the Commissioner,Annual,1,1,88812.00,88812.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,3 00,9,311,Projects Administrator,Annual,1,1,91152.00,91152.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,72936.00,72936.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,63456.00,63456.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3582.00,3582.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1005,2005,COMMISSIONER'S OFFICE,3075,Safety and Security,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,4273.00,4273.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3048,Agency Management,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,126564.00,126564.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3048,Agency Management,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,41220.00,41220.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3048,Agency Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1002.00,1002.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,BX 11,10,1588,Procurement Control Officer I,Annual,1,1,52536.00,52536.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,3 00,20,1580,Supervisor of Contracts,Annual,1,1,85020.00,85020.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,BX 15,10,1572,Chief Contract Expediter,Annual,1,1,84780.00,84780.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,BX 14,10,1522,Principal Purchase Contract Administrator,Annual,1,1,49668.00,49668.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,BX 17,10,345,Contracts Coordinator,Annual,1,1,63516.00,63516.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3060,Purchasing,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,5550.00,5550.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,80916.00,80916.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,10,1303,Administrative Services Officer I - Excluded,Annual,1,1,70380.00,70380.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,10,1303,Administrative Services Officer I - Excluded,Annual,1,1,64152.00,64152.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,10,1303,Administrative Services Officer I - Excluded,Annual,1,1,63276.00,63276.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 15,20,1302,Administrative Services Officer II,Annual,2,1,88812.00,177624.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,10,1301,Administrative Services Officer I,Annual,1,1,45240.00,45240.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,431,Clerk IV,Annual,1,1,60600.00,60600.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,431,Clerk IV,Annual,1,1,57828.00,57828.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,431,Clerk IV,Annual,2,1,55212.00,110424.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,431,Clerk IV,Annual,1,1,52740.00,52740.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,431,Clerk IV,Annual,2,1,37704.00,75408.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,63276.00,63276.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,60408.00,60408.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,107952.00,107952.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,63456.00,63456.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,B 10,1,302,Administrative Assistant II,Annual,2,1,52740.00,105480.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,U 14,53,170,Chief Timekeeper - Laborer,Annual,1,1,93816.00,93816.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3065,Personnel/Payroll/Labor Relations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7636.00,7636.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3071,Information Technology,0,,3 00,0,699,Manager of Systems Development,Annual,1,1,83100.00,83100.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3071,Information Technology,0,,3 00,10,625,Chief Programmer/Analyst,Annual,1,1,110352.00,110352.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 09,1,832,Personal Computer Operator II,Annual,1,1,55212.00,55212.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,431,Clerk IV,Annual,2,1,55212.00,110424.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,431,Clerk IV,Annual,1,1,37704.00,37704.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,108792.00,108792.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,46152.00,46152.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,63456.00,63456.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,60600.00,60600.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,302,Administrative Assistant II,Annual,2,1,57828.00,115656.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 11,1,190,Accounting Technician II,Annual,1,1,41364.00,41364.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,189,Accounting Technician I,Annual,1,1,63456.00,63456.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 10,1,189,Accounting Technician I,Annual,1,1,37704.00,37704.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,3 00,10,187,Director of Accounting,Annual,1,1,102024.00,102024.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,B 12,4,184,Accounting Technician III,Annual,1,1,76428.00,76428.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,BX 15,10,134,Financial Analyst,Annual,1,1,80916.00,80916.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,BX 17,20,126,Financial Officer,Annual,1,1,106884.00,106884.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,3 00,10,120,Supervisor of Accounting,Annual,1,1,95832.00,95832.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,3 00,0,117,Assistant Director of Finance,Annual,1,1,98712.00,98712.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,G 07,4,104,Accountant IV,Annual,3,1,91224.00,273672.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,G 06,4,103,Accountant III,Annual,1,1,59268.00,59268.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1010,2010,ADMINISTRATIVE SUPPORT,3072,Finance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7127.00,7127.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3103,Agency Management,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,126564.00,126564.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3103,Agency Management,0,,3 00,9,5611,Managing Engineer - Water Department,Annual,1,1,107952.00,107952.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3103,Agency Management,0,,3 00,20,1191,Contracts Administrator,Annual,1,1,113448.00,113448.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3103,Agency Management,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,58812.00,58812.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3105,Capital Planning,0,,G 08,4,6054,Mechanical Engineer IV,Annual,1,1,99648.00,99648.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3105,Capital Planning,0,,3 00,20,5632,Coordinating Engineer II,Annual,1,1,119256.00,119256.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3110,Engineering Services,0,,3 00,10,5689,Water Conservation Engineer,Annual,1,1,101700.00,101700.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3110,Engineering Services,0,,3 00,20,5630,Coordinating Engineer I,Annual,1,1,113448.00,113448.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3110,Engineering Services,0,,3 00,10,5615,Civil Engineer V,Annual,1,1,96768.00,96768.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3110,Engineering Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,57828.00,57828.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,2 0,16,2237,Chief Plumbing Inspector,Monthly,1,1,9792.00,117504.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,2 0,16,2235,Assistant Chief Plumbing Inspector,Monthly,1,1,8649.60,103795.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,2 0,16,2233,Plumbing Inspector in Charge,Monthly,3,1,8160.00,293760.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,2 0,16,2231,Plumbing Inspector,Monthly,19,1,7990.00,1821720.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,B 09,1,832,Personal Computer Operator II,Annual,1,1,50280.00,50280.00
CDBG,0K39,CDBG,31,DEPARTMENT OF LAW,1005,2515,CODE ENFORCEMENT,3515,Code Enforcement,0,,B 10,1,431,Clerk IV,Annual,2,1,63456.00,126912.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,B 08,1,826,Principal Typist,Annual,1,1,50280.00,50280.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,B 10,1,431,Clerk IV,Annual,1,1,60600.00,60600.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,B 08,1,430,Clerk III,Annual,1,1,50280.00,50280.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,B 12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3257.00,3257.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3116,Inspections Services,4001,Water Inspection Services,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,24840.00,24840.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,B 15,1,6145,Engineering Technician VI,Annual,1,1,91980.00,91980.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,B 15,1,6145,Engineering Technician VI,Annual,1,1,73200.00,73200.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,B 14,1,6144,Engineering Technician V,Annual,1,1,79992.00,79992.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3205,Water Quality,0,,B 09,1,2317,Water Quality Inspector,Annual,2,1,57828.00,115656.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,3 00,20,5630,Coordinating Engineer I,Annual,1,1,112332.00,112332.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,G 08,4,5614,Civil Engineer IV,Annual,1,1,99648.00,99648.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,3 00,9,311,Projects Administrator,Annual,1,1,95808.00,95808.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1015,2015,ENGINEERING SERVICES,3121,Design and Construction Services,4003,Water Design and Construction Services,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3487.00,3487.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,126564.00,126564.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,3 00,10,5564,Assistant Engineer of Water Purification,Annual,1,1,106884.00,106884.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,B 10,1,831,Personal Computer Operator III,Annual,1,1,60600.00,60600.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,B 08,1,826,Principal Typist,Annual,1,1,31308.00,31308.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,3 00,9,311,Projects Administrator,Annual,1,1,101700.00,101700.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,55212.00,55212.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,3 00,0,155,Manager of Audit and Internal Controls,Annual,1,1,115740.00,115740.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3203,Agency Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2999.00,2999.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3205,Water Quality,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,107664.00,107664.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3205,Water Quality,0,,3 00,0,5648,Water Quality Manager,Annual,1,1,111216.00,111216.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3205,Water Quality,0,,3 00,20,5647,Director of Water Quality Surveillance,Annual,1,1,103740.00,103740.00
Local,200,WATER FUND,88,DEPT OF WATER MANAGEMENT,1020,2020,WATER SUPPLY,3205,Water Quality,0,,G 08,4,5644,Sanitary Engineer IV,Annual,1,1,99648.00,99648.00
