FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3005,3005 Animal Control,0, ,I11,2,3496,Animal Control Officer,Annual,3,1,44568.00,133704
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3005,3005 Animal Control,0, ,I11,2,3496,Animal Control Officer,Annual,1,1,40596.00,40596
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3005,3005 Animal Control,0, ,I11,2,3496,Animal Control Officer,Annual,1,1,38748.00,38748
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3005,3005 Animal Control,0, ,BX14,10,3495,Supervisor of Animal Control Officers,Annual,1,1,59796.00,59796
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3005,3005 Animal Control,0, ,BX14,10,3495,Supervisor of Animal Control Officers,Annual,2,1,49668.00,99336
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,B11,3,3497,Animal Care Aide II,Annual,2,1,49788.00,99576
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,B11,3,3497,Animal Care Aide II,Annual,8,1,41364.00,330912
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,B12,3,3492,Veterinarian Assistant,Annual,3,1,57828.00,173484
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,12,3,3492,Veterinarian Assistant,Annual,1,1,49788.00,49788
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,12,3,3492,Veterinarian Assistant,Annual,2,1,45372.00,90744
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,12,3,3492,Veterinarian Assistant,Annual,1,1,54672.00,54672
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,B14,3,3487,Supervisor of Animal Care Aides,Annual,1,1,72936.00,72936
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,B14,3,3487,Supervisor of Animal Care Aides,Annual,1,1,69648.00,69648
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,14,3,3487,Supervisor of Animal Care Aides,Annual,1,1,57240.00,57240
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,BX16,10,3485,Animal Shelter Manager,Annual,1,1,59796.00,59796
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,300,0,3313,Supervising Veterinarian,Annual,1,1,110004.00,110004
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,G10,4,3310,Veterinarian,Annual,1,1,115980.00,115980
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,G10,4,3310,Veterinarian,Annual,1,1,86532.00,86532
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3010,3010 Animal Care,0, ,G10,4,3309,Veterinarian - Hourly,Hourly,340,0,47.54,16164
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3015,3015 Anti-Cruelty,0, ,I12,2,3491,Animal Control Inspector,Annual,1,1,70884.00,70884
Local,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,1005,2005,COMM ANIMAL CARE AND CONTROL,3015,3015 Anti-Cruelty,0, ,I12,2,3491,Animal Control Inspector,Annual,2,1,53628.00,107256
Local,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,1005,2005,LICENSE APPEAL COMMISSION,3005,3005 Liquor License Revocation Appeals,0, ,BX13,20,308,Staff Assistant,Annual,1,1,63276.00,63276
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,100,9,9978,Executive Director,Annual,1,1,125532.00,125532
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,300,9,9718,Investigator - Ethics,Annual,1,1,72516.00,72516
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,0,9,9684,Deputy Director,Annual,1,1,118080.00,118080
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,BX17,10,3092,Program Director,Annual,1,1,76512.00,76512
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,BX17,10,1659,Legal Counsel - Board of Ethics,Annual,1,1,84780.00,84780
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,BX16,20,309,Coordinator of Special Projects,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,BX13,20,308,Staff Assistant,Annual,1,1,73752.00,73752
Local,100,CORPORATE FUND,78,BOARD OF ETHICS,1005,2005,BOARD OF ETHICS,3005,3005 Administration,0, ,BX15,20,305,Assistant to the Director,Annual,1,1,63516.00,63516
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4033,4033 Financial Controls,B10,1,431,Clerk IV,Annual,1,1,60600.00,60600
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,100,9,9981,Commissioner of Streets and Sanitation,Annual,1,1,157092.00,157092
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,100,9,9813,Managing Deputy Commissioner,Annual,1,1,142464.00,142464
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,100,9,9660,First Deputy Commissioner,Annual,1,1,126432.00,126432
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,0,0,365,Personal Assistant,Annual,1,1,73752.00,73752
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,BX14,20,318,Assistant to the Commissioner,Annual,1,1,73752.00,73752
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4000,4000 Office of the Commissioner,16,20,309,Coordinator of Special Projects,Annual,1,1,97416.00,97416
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4002,4002 Administrative Support,300,0,705,Director Public Affairs,Annual,1,1,116652.00,116652
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4002,4002 Administrative Support,BX12,20,323,Administrative Assistant III - Excluded,Annual,1,1,62196.00,62196
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4002,4002 Administrative Support,BX12,20,323,Administrative Assistant III - Excluded,Annual,1,1,55044.00,55044
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4002,4002 Administrative Support,BX13,20,308,Staff Assistant,Annual,1,1,73752.00,73752
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2005,COMMISSIONER'S OFFICE,3004,3004 Departmental Administration,4002,4002 Administrative Support,B12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,2 0,54,9528,Laborer - BOE,Hourly,2040,0,35.20,71808
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,300,54,7975,Tree Trimmer,Hourly,10200,0,33.74,344148
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,2 0,42,7633,Hoisting Engineer,Hourly,6120,0,43.80,268056
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,2 0,8,7183,Motor Truck Driver,Hourly,26520,0,33.85,897702
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,300,54,6324,Sanitation Laborer,Hourly,97920,0,32.79,3210797
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,15,20,1302,Administrative Services Officer II,Annual,1,1,78420.00,78420
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,BX16,20,381,Director of Administration II,Annual,1,1,97416.00,97416
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,12,20,323,Administrative Assistant III - Excluded,Annual,1,1,55044.00,55044
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,BX15,10,320,Assistant to the Commissioner,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,BX15,10,320,Assistant to the Commissioner,Annual,1,1,63516.00,63516
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4013,4013 Administrative/Personnel Services,0,10,289,Safety Administrator,Annual,1,1,82524.00,82524
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1020,2025,BUREAU OF RODENT CONTROL,3072,3072 Vector Control,4174,4174 Containerization,300,54,6324,Sanitation Laborer,Hourly,11,1,32.79,750235
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4014,4014 Payroll Services,BX15,10,320,Assistant to the Commissioner,Annual,1,1,77280.00,77280
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4014,4014 Payroll Services,300,9,313,Assistant Commissioner,Annual,1,1,103740.00,103740
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4014,4014 Payroll Services,BX16,20,309,Coordinator of Special Projects,Annual,1,1,88812.00,88812
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3009,3009 Personnel/Payroll/Legal,4014,4014 Payroll Services,V12,54,175,Field Payroll Auditor,Annual,2,1,76428.00,152856
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4015,4015 Accounting Services,100,9,9679,Deputy Commissioner,Annual,1,1,110172.00,110172
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4015,4015 Accounting Services,300,20,383,Director of Administrative Services,Annual,1,1,88812.00,88812
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4015,4015 Accounting Services,BX13,20,308,Staff Assistant,Annual,1,1,60408.00,60408
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4015,4015 Accounting Services,B11,1,190,Accounting Technician II,Annual,1,1,55212.00,55212
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4016,4016 Contract Services,B11,1,1481,Contract Review Specialist I,Annual,1,1,69648.00,69648
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4016,4016 Contract Services,13,10,1301,Administrative Services Officer I,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4016,4016 Contract Services,17,10,345,Contracts Coordinator,Annual,1,1,63516.00,63516
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4016,4016 Contract Services,BX13,20,308,Staff Assistant,Annual,1,1,57648.00,57648
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4017,4017 Management Information Systems,G06,4,1142,Senior Operations Analyst,Annual,1,1,83640.00,83640
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4017,4017 Management Information Systems,17,10,634,Data Services Administrator,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4017,4017 Management Information Systems,0,0,310,Project Manager,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4017,4017 Management Information Systems,GY07,10,124,Finance Officer,Annual,1,1,80256.00,80256
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4018,4018 Community Outreach,BX15,10,320,Assistant to the Commissioner,Annual,1,1,89436.00,89436
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1005,2006,ADMINISTRATIVE SERV DIVISION,3010,3010 Financial Administration,4018,4018 Community Outreach,B12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4030,4030 Executive Direction,100,9,9679,Deputy Commissioner,Annual,1,1,122640.00,122640
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4030,4030 Executive Direction,BX17,10,8185,Assistant General Superintendent,Annual,1,1,106884.00,106884
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4030,4030 Executive Direction,BX13,20,308,Staff Assistant,Annual,1,1,64152.00,64152
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4031,4031 Administrative Services,BX13,20,308,Staff Assistant,Annual,1,1,64152.00,64152
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4033,4033 Financial Controls,15,10,1912,Project Coordinator,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3042,3042 Sanitation Administration,4033,4033 Financial Controls,BX15,10,320,Assistant to the Commissioner,Annual,1,1,80916.00,80916
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3043,3043 General Support,4040,4040 Property Control,300,54,6324,Sanitation Laborer,Hourly,1,1,32.79,68203
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX17,10,8185,Assistant General Superintendent,Annual,1,1,93024.00,93024
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX17,10,8185,Assistant General Superintendent,Annual,1,1,88812.00,88812
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX17,10,8185,Assistant General Superintendent,Annual,1,1,84780.00,84780
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX17,10,8176,Assistant Division Superintendent,Annual,1,1,93024.00,93024
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,300,20,8175,Division Superintendent,Annual,1,1,119136.00,119136
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,300,20,8175,Division Superintendent,Annual,3,1,84156.00,252468
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,3,1,111996.00,335988
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,2,1,106884.00,213768
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,5,1,102060.00,510300
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,3,1,97416.00,292248
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,4,1,93024.00,372096
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,5,1,88812.00,444060
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,6,1,83940.00,503640
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,8,1,80112.00,640896
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,1,1,76512.00,76512
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,5,1,73020.00,365100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX18,20,8173,Ward Superintendent,Annual,9,1,69684.00,627156
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,11,1,91980.00,1011780
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,1,1,87864.00,87864
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,3,1,83832.00,251496
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,20,1,79992.00,1599840
Local,200,WATER FUND,67,DEPT OF BUILDINGS,1005,2005,DEPT OF BUILDINGS,3215,3215 Plan Review,0, ,BX13,20,308,Staff Assistant,Annual,1,1,64152.00,64152
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,8,1,76428.00,611424
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V14,54,7152,Refuse Collection Coordinator,Annual,10,1,54672.00,546720
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,5,1,63456.00,317280
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,3,1,60600.00,181800
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,12,1,57828.00,693936
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,6,1,55212.00,331272
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,6,1,52740.00,316440
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,9,1,50280.00,452520
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,1,1,48048.00,48048
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,1,1,45372.00,45372
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,V10,54,416,Ward Clerk,Annual,5,1,37704.00,188520
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4021,4021 Supervisory and Clerical,BX17,10,304,Assistant to Commissioner,Annual,1,1,93024.00,93024
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4025,4025 Refuse Collection,300,54,632D,Sanitation Laborer,Hourly,167280,0,32.79,5485111
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4025,4025 Refuse Collection,300,54,632D,Sanitation Laborer,Hourly,12240,0,22.95,280908
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4025,4025 Refuse Collection,0,8,7183,Motor Truck Driver,Hourly,5,1,33.85,352040
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,1015,2020,BUREAU OF SANITATION,3050,3050 Solid Waste Collection,4025,4025 Refuse Collection,300,54,6324,Sanitation Laborer,Hourly,590,1,32.79,40239888
