FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3102,Architecture and Construction,4122,Relocation,3 00,9,311,Projects Administrator,Annual,1,1,101628.00,101628.00
Local,88,DWM,314,Sewer Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3257,Communications,4010,Sewer Communications,B 12,1,303,Administrative Assistant III,Annual,1,1,48168.00,48168.00
Local,84,CDOT,100,Corporate Fund,1140,SIGN MANAGEMENT,2140,Division of Sign Management,3140,Sign Management,0,,2 0,25,8267,Foreman of Sign Shop,Hourly,1,1,43.86,91229.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3020,Administrative Services,4021,Investigations,1 00,0,11,Contract Wage Increment - Salary,Annual,0,0,38013.00,38013.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3017,Office of the General Counsel,4030,Office of the General Counsel,E 03,71,9171,Sergeant,Annual,4,1,104628.00,418512.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3102,Office of the First Deputy,4137,Public Education,F 1B,87,8801,Firefighter - EMT,Annual,1,1,95484.00,95484.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2015,Financial Strategy and Operations,3016,Financial Strategy,4079,Employee Benefits Management,3 00,0,233,Benefits Claims Supervisor,Annual,2,1,94788.00,189576.00
Local,23,DCASE,355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3225,Marketing and Communication,0,,BX 14,10,789,Public Relations Rep III - Excluded,Annual,1,1,79812.00,79812.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3046,Revenue Litigation,4021,Corporate Litigation,L 02,9,1672,Assistant Corporation Counsel II,Annual,3,1,69228.00,207684.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,B 15,1,1572,Chief Contract Expediter,Annual,1,1,75816.00,75816.00
Local,88,DWM,200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3259,Evaluations,0,,B 13,1,6143,Engineering Technician IV,Annual,1,1,52848.00,52848.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 11,1,8616,Communications Operators II - 3-1-1,Annual,2,1,43920.00,87840.00
Local,88,DWM,200,Water Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3116,Inspections Services,4001,Water Inspection Services,B 12,1,303,Administrative Assistant III,Annual,1,1,88044.00,88044.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 6B,80,8726,Commander - EMT,Annual,1,1,145194.00,145194.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3278,Forensic Services Division,0,,D 03,91,9166,Police Officer - Assigned as Supervising Latent Print Examiner,Annual,1,1,104502.00,104502.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3017,Office of the General Counsel,4030,Office of the General Counsel,3 00,99,9756,General Counsel,Annual,1,1,165516.00,165516.00
Local,5,OBM,200,Water Fund,1005,OBM,2005,Office of Budget and Management,3050,Revenue and Expenditure Analysis,0,,1 00,9,1120,Managing Deputy Budget Director,Annual,1,1,130356.00,130356.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3274,Bureau of Detectives,0,,E 03,71,9171,Sergeant,Annual,1,1,98184.00,98184.00
Local,88,DWM,314,Sewer Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3364,Inspection Services,4364,Sewer Inspection Services,2 0,16,2143,House Drain Inspector,Monthly,9,1,9052.50,977670.00
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3223,Quality Assurance Engineering,0,,G 07,4,5613,Civil Engineer III,Annual,1,1,105108.00,105108.00
Local,5,OBM,100,Corporate Fund,1005,OBM,2005,Office of Budget and Management,3070,Data Analytics,0,,GY 08,20,647,Senior Programmer Analyst - Excluded,Annual,1,1,89928.00,89928.00
Local,33,DHR,100,Corporate Fund,1005,HUMAN RESOURCES,2005,Department of Human Resources,3620,Employment Services  Hiring and Compensation,0,,1 00,9,9671,Chief Diversity Officer,Annual,1,1,108960.00,108960.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3016,Code Enforcement,4072,Strategic Task Force,B 15,1,1302,Administrative Services Officer II,Annual,1,1,105948.00,105948.00
Local,88,DWM,200,Water Fund,1005,COMMISSIONER'S OFFICE,2005,Commissioner's Office,3010,Public Relations,0,,3 00,0,705,Director of Public Affairs,Annual,1,1,108960.00,108960.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3352,HIV/STI Prevention and Control,0,,B 09,1,3139,Certified Medical Assistant,Annual,1,1,66612.00,66612.00
Local,85,AVIATION,610,Chicago Midway Airport Fund,1005,AVIATION,2010,Chicago Midway Airport,3010,Chicago Midway Airport,4333,Security,I 13,2,4210,Aviation Security Officer,Annual,7,1,85056.00,595392.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 06,1,445,Library Clerk,Annual,1,1,39612.00,39612.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3281,Central Investigations Division,4282,Arson Unit,B 09,1,832,Personal Computer Operator II,Annual,1,1,66612.00,66612.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3101,Facilities Management,4102,Custodial Services,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,79812.00,79812.00
Local,88,DWM,200,Water Fund,1005,COMMISSIONER'S OFFICE,2005,Commissioner's Office,3010,Public Relations,0,,1 00,9,9715,Director of News Affairs,Annual,1,1,114528.00,114528.00
Local,33,DHR,100,Corporate Fund,1005,HUMAN RESOURCES,2005,Department of Human Resources,3035,Testing Services,4035,Employee Development,3 00,20,1371,Testing Manager,Annual,1,1,98628.00,98628.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3017,Office of the General Counsel,4030,Office of the General Counsel,3 00,10,1645,Associate Staff Attorney,Annual,4,1,61800.00,247200.00
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,G 06,4,5533,Water Chemist III,Annual,1,1,96360.00,96360.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3089,Planning  Historical Preservation  and Sustainability,4036,Planning and Design,BX 13,10,801,Executive Administrative Assistant I,Annual,1,1,48960.00,48960.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3355,Project Oversight,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,131664.00,131664.00
Local,88,DWM,314,Sewer Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3121,Design and Construction Services,4004,Sewer Design and Construction Services,3 00,10,5615,Civil Engineer V,Annual,1,1,97668.00,97668.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4606,Airfield Operations,V 15,54,7021,Airport Operations Supervisor II,Annual,3,1,96528.00,289584.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,Reimbursable Personnel,0,,2 0,42,7633,Hoisting Engineer,Hourly,5,1,49.80,517920.00
Local,38,FFM,740,Chicago O'Hare Airport Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,96096.00,96096.00
Local,6,DOIT,346,Library Fund,1005,DOIT,2005,Department of Innovation and Technology,3390,Technical Support Services,0,,B 13,1,626,Telecommunications Specialist,Annual,1,1,96564.00,96564.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4028,Planned Development,B 12,3,1295,Zoning Plan Examiner,Annual,1,1,80232.00,80232.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,5,1,69828.00,349140.00
Local,25,CITY CLERK,300,Vehicle Tax Fund,1005,CITY CLERK,2005,City Clerk,3030,Customer Processing Center,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,873.00,873.00
Local,84,CDOT,100,Corporate Fund,1105,OFFICE OF THE COMMISSIONER,2105,Commissioner's Office,3207,Performance Management,0,,3 00,0,601,Director of Information Systems,Annual,1,1,112920.00,112920.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3352,HIV/STI Prevention and Control,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,48168.00,48168.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3429,Office of Community Policing,0,,B 12,3,9101,Community Organizer - CAPS,Annual,3,1,80232.00,240696.00
Local,84,CDOT,310,Motor Fuel Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4268,Bridge Maintenance,2 0,32,5035,Electrical Mechanic,Hourly,14,1,48.35,1407952.00
Local,88,DWM,314,Sewer Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3256,Equipment Coordination/Warehouse and Stores,4008,Sewer Equipment Coordination,2 0,53,8320,Materials Dispatcher,Hourly,1,1,42.72,88858.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3220,Accounts Receivable,4204,Citation Administration,U 06,53,7404,Traffic Enforcement Technician,Annual,3,1,39588.00,118764.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3046,Prosecutions and Adjudications,4046,Prosecutions,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3357.00,3357.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9104,Traffic Control Aide - Hourly,Hourly,150000,0,19.86,2979000.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,31144.00,31144.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,160002.00,160002.00
Local,81,DSS,100,Corporate Fund,1005,COMMISSIONER'S OFFICE,2006,Administrative Services Division,3009,Personnel/Payroll/Legal,4014,Payroll Services,V 12,54,175,Field Payroll Auditor,Annual,1,1,54792.00,54792.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,128760.00,128760.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4606,Airfield Operations,3 00,0,7006,Aviation Safety Management Systems Director,Annual,1,1,105756.00,105756.00
Local,88,DWM,314,Sewer Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3364,Inspection Services,4364,Sewer Inspection Services,B 13,1,308,Staff Assistant,Annual,1,1,92136.00,92136.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3456,Finance Division,4257,Payroll Services,B 11,1,438,Timekeeper - CPD,Annual,3,1,69828.00,209484.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3355,Project Oversight,0,,3 00,20,8184,General Superintendent,Annual,1,1,129072.00,129072.00
Local,60,COPA,100,Corporate Fund,1005,COPA,2005,Civilian Office of Police Accountability,3010,Investigations,0,,3 00,10,1170,Director of Quality Management - COPA,Annual,1,1,85824.00,85824.00
Grant,41,HEALTH,0X61,Bioterrorism Preparedness Response Planning,1005,DEPARTMENT OF PUBLIC HEALTH,2829,Bioterrorism Preparedness Response Planning,3829,Bioterrorism Preparedness Response Planning,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,123996.00,123996.00
Grant,48,MOPD,0Z41,Substance Abuse and AIDS Prevention for the Hearing Impaired,1005,MOPD,2805,Substance Abuse and AIDS Prevention for the Hearing Impaired,3805,Substance Abuse and AIDS Prevention for the Hearing Impaired,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,83628.00,83628.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,1 00,99,9785,Chief,Annual,1,1,185364.00,185364.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 08,1,447,Senior Library Clerk,Annual,8,1,52800.00,422400.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3287,Central Investigations Division,4288,Task Forces,D 01,91,9161,Police Officer,Annual,46,1,48078.00,2211588.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3020,Administrative Services,4021,Investigations,I 14,2,8602,Police Communications Operator II,Annual,1,1,52776.00,52776.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3046,Revenue Litigation,4021,Corporate Litigation,L 02,9,1672,Assistant Corporation Counsel II,Annual,1,1,113124.00,113124.00
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4237,Permitting,B 09,1,665,Senior Data Entry Operator,Annual,1,1,57924.00,57924.00
Local,27,FINANCE,740,Chicago O'Hare Airport Fund,1005,FINANCE,2012,Accounting and Financial Reporting,3019,Accounting and Financial Reporting,4054,Enterprise Auditing and Accounting,GY 11,20,187,Director of Accounting,Annual,1,1,119412.00,119412.00
Local,84,CDOT,310,Motor Fuel Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4267,Pavement Marking,2 0,39,463D,Painter,Hourly,19418,0,46.55,903908.00
Grant,1,MAYOR,0J83,100 Resilient Cities Initiative,1005,OFFICE OF THE MAYOR,2810,100 Resilient Cities Initiative,3810,100 Resilient Cities Initiative,0,,3 00,9,9640,Chief Resiliency Officer,Annual,1,1,92700.00,92700.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2012,Accounting and Financial Reporting,3041,Grant and Project Accounting,4095,Health,GY 10,20,120,Supervisor of Accounting,Annual,1,1,107244.00,107244.00
Local,84,CDOT,100,Corporate Fund,1115,ADMINISTRATION,2115,Division of Administration,3216,Finance,4213,Order Board,BX 16,10,1814,Coordinator of Warehouse Operations,Annual,1,1,83628.00,83628.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3020,Election Support,0,,Z 14,69,9335,Supervisor of Polling - Board of Elections,Annual,1,1,63024.00,63024.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3426,Office of Communications,0,,D 01,91,9161,Police Officer,Annual,1,1,93354.00,93354.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4402,Human Resources,B 15,1,1302,Administrative Services Officer II,Annual,1,1,75816.00,75816.00
Grant,59,CFD,0Z87,Fire Academy Training and Improvement,1005,Chicago Fire Department,2810,Fire Academy Training and Improvement,3810,Fire Academy Training and Improvement,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2335.00,2335.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4717,Skilled Trades,2 0,41,4855,Sheet Metal Worker,Hourly,6,1,44.25,552240.00
Local,88,DWM,200,Water Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3121,Design and Construction Services,4003,Water Design and Construction Services,G 08,4,5614,Civil Engineer IV,Annual,1,1,114780.00,114780.00
Local,33,DHR,100,Corporate Fund,1005,HUMAN RESOURCES,2005,Department of Human Resources,3005,Administration,4005,Commissioner's Office,1 00,9,9933,Commissioner of Human Resources,Annual,1,1,156120.00,156120.00
Local,85,AVIATION,610,Chicago Midway Airport Fund,1005,AVIATION,2010,Chicago Midway Airport,3010,Chicago Midway Airport,4363,Safety,B 13,1,6122,Safety Specialist,Annual,1,1,88044.00,88044.00
Local,54,PLANNING AND DEVELOPMENT,0B21,Tax Increment Financing Administration Fund,1005,Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,46776.00,46776.00
Local,58,OEMC,740,Chicago O'Hare Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,226.00,226.00
Local,88,DWM,200,Water Fund,1010,ADMINISTRATIVE SUPPORT,2010,Bureau of Administrative Support,3060,Purchasing,0,,BX 17,10,345,Contracts Coordinator,Annual,1,1,72024.00,72024.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3005,Office of the Executive Director,4005,Executive Administration,BX 15,10,802,Executive Administrative Assistant II,Annual,1,1,64704.00,64704.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3102,Architecture and Construction,4107,Construction Management,3 00,0,310,Project Manager,Annual,1,1,96696.00,96696.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3020,Election Support,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,48036.00,48036.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3278,Forensic Services Division,0,,D 02,91,9206,Police Officer - Assigned as Evidence Technician,Annual,1,1,84054.00,84054.00
Local,85,AVIATION,610,Chicago Midway Airport Fund,1005,AVIATION,2010,Chicago Midway Airport,3010,Chicago Midway Airport,4313,Operations,V 15,54,7021,Airport Operations Supervisor II,Annual,1,1,116244.00,116244.00
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,Auto Pounds,4152,Auto Pounds Operations,B 10,1,6333,Property Custodian - Auto Pound,Annual,6,1,63600.00,381600.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,Public Safety Audit,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,145428.00,145428.00
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,Towing / Relocation Services,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,14,1,36.45,1061424.00
Local,23,DCASE,355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3220,Strategic Initiatives and Partnerships,0,,BX 16,10,347,Sponsorship Coordinator,Annual,1,1,91752.00,91752.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2011,City Comptroller,3001,Office of the City Comptroller,0,,3 00,0,1434,Director of Public Information,Annual,1,1,94560.00,94560.00
Grant,41,HEALTH,0U59,Healthy Families Illinois,1005,DEPARTMENT OF PUBLIC HEALTH,2849,Healthy Families Illinois,3849,Health Families Illinois,0,,B 16,4,3467,Public Health Administrator III,Annual,1,1,105948.00,105948.00
Grant,50,DFSS,0Y21,Area Plan on Aging - Older Americans Act - Federal,1005,FAMILY AND SUPPORT SERVICES,2904,Area Plan on Aging - Older Americans Act - Federal,3904,Area Plan on Aging - Older Americans Act - Federal,0,,G 06,4,103,Accountant III,Annual,1,1,96360.00,96360.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,3 00,20,5156,Chief Electrical Inspector,Annual,1,1,114528.00,114528.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 08,69,9340,Election Equipment and Supply Specialist I,Annual,3,1,27228.00,81684.00
Local,35,DPS,100,Corporate Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3006,Departmental Administration,4006,Administration,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,4617.00,4617.00
Local,28,TREASURER,610,Chicago Midway Airport Fund,1005,CITY TREASURER,2005,City Treasurer,3010,Portfolio Management,0,,3 00,0,242,Portfolio Manager,Annual,1,1,92928.00,92928.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3451,Education and Training Division,0,,D 02,91,9164,Police Officer - Assigned as Training Officer,Annual,1,1,68616.00,68616.00
CDBG,67,BUILDINGS,0J45,Community Development Block Grant Year XLV,1005,BUILDINGS,2505,Troubled Buildings Program,3505,Vacant Property and Demolition,0,,T 16,44,2150,Building/Construction Inspector,Annual,2,1,105900.00,211800.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3428,Office of Reform Management,0,,3 00,0,306,Assistant Director,Annual,1,1,120348.00,120348.00
Local,25,CITY CLERK,100,Corporate Fund,1005,CITY CLERK,2005,City Clerk,3005,Administration,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,83628.00,83628.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3280,Reimbursable Personnel,0,,2 0,54,9539,Concrete Laborer,Hourly,67,1,42.72,5953459.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2035,Bureau of Technical Services,3310,Technical Services - Administration,0,,1 00,99,9785,Chief,Annual,1,1,185364.00,185364.00
Local,31,LAW,200,Water Fund,1005,LAW,2005,Department of Law,3019,Torts,4002,Water Torts,L 05,9,1641,Assistant Corporation Counsel Supervisor,Annual,1,1,130020.00,130020.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3041,Economic Development,4013,Delegate Agencies,BX 17,10,1985,Coordinator of Economic Development II - Planning and Development,Annual,1,1,91752.00,91752.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3286,Patrol Services,4319,District Law Enforcement,B 11,1,438,Timekeeper - CPD,Annual,5,1,43920.00,219600.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,B 13,1,702,Public Relations Representative II,Annual,2,1,52848.00,105696.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2005,Department of Public Health,3005,Commissioner's Office,0,,B 13,1,308,Staff Assistant,Annual,1,1,88044.00,88044.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2035,Bureau of Technical Services,3310,Technical Services - Administration,0,,3 00,20,4546,Director of Facilities Management,Annual,1,1,114528.00,114528.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3439,Deployment Operations Section,0,,D 01,91,9161,Police Officer,Annual,9,1,90024.00,810216.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,56652.00,56652.00
Local,84,CDOT,100,Corporate Fund,1145,PROJECT DEVELOPMENT,2145,Division of Project Development,3246,Programming and Planning,0,,3 00,20,1441,Coordinating Planner,Annual,1,1,103680.00,103680.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 08,1,430,Clerk III,Annual,1,1,55344.00,55344.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4700,Administration Facilities,BX 17,10,7027,Construction Coordinator,Annual,1,1,115656.00,115656.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,6,1,45504.00,273024.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,67464.00,67464.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,33180.00,33180.00
Grant,50,DFSS,0Y34,Head Start,1005,FAMILY AND SUPPORT SERVICES,2860,Head Start,3905,Head Start,0,,B 13,1,3914,Support Services Coordinator,Annual,3,1,96564.00,289692.00
Local,54,PLANNING AND DEVELOPMENT,0B21,Tax Increment Financing Administration Fund,1005,Planning and Development,2005,Department of Planning and Development,3041,Economic Development,4019,TIF RDA Monitoring and Compliance,GY 09,20,1437,Financial Planning Analyst - Excluded,Annual,2,1,78828.00,157656.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,925,Photographer,Annual,1,1,73500.00,73500.00
Local,6,DOIT,100,Corporate Fund,1005,DOIT,2005,Department of Innovation and Technology,3360,Network and Telecommunications,0,,B 15,1,627,Senior Telecommunications Specialist,Annual,2,1,105948.00,211896.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,71,1,56304.00,3997584.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,64860.00,64860.00
